"filename", "language", "JSON", "Markdown", "CSS", "HTML", "JavaScript", "XML", "JavaScript JSX", "comment", "blank", "total"
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\cart\cartSlice.js", "JavaScript", 0, 0, 0, 0, 96, 0, 0, 8, 16, 120
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\chat\chatSlice.js", "JavaScript", 0, 0, 0, 0, 164, 0, 0, 10, 14, 188
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\exchange\exchangeSlice.js", "JavaScript", 0, 0, 0, 0, 175, 0, 0, 12, 16, 203
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\profile\profileSlice.js", "JavaScript", 0, 0, 0, 0, 98, 0, 0, 4, 9, 111
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\stripe\stripeSlice.js", "JavaScript", 0, 0, 0, 0, 69, 0, 0, 40, 12, 121
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\user\userSlice.js", "JavaScript", 0, 0, 0, 0, 275, 0, 0, 16, 22, 313
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\wallet\walletSlice.js", "JavaScript", 0, 0, 0, 0, 125, 0, 0, 8, 13, 146
"d:\Projects\College Projects\Book Trading\book-trading-react\src\index.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 3, 3, 14
"d:\Projects\College Projects\Book Trading\book-trading-react\src\index.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\Projects\College Projects\Book Trading\book-trading-react\src\utils\auth\setAuthToken.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\Projects\College Projects\Book Trading\book-trading-react\src\utils\axios\axiosInstance.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"d:\Projects\College Projects\Book Trading\book-trading-react\src\utils\isEmpty.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Projects\College Projects\Book Trading\book-trading-react\src\utils\mantine\theme.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 184, 8, 227
"d:\Projects\College Projects\Book Trading\book-trading-react\src\utils\notification\showNotification.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"d:\Projects\College Projects\Book Trading\book-trading-react\src\utils\timeSince.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"Total", "-", 34280, 2, 38, 18, 1576, 1, 7500, 427, 1015, 44857
